idx,good_or_not,quality,alcohol,sulphates,pH,density,total sulfur dioxide,free sulfur dioxide,chlorides,residual sugar,citric acid,volatile acidity,fixed acidity
idx_12514,good,7,12.3,0.49,3.36,0.99165,148.0,34.0,0.028999999999999998,4.7,0.3,0.34,6.9
idx_12517,good,6,9.5,0.56,3.14,0.9968299999999999,224.0,61.0,0.034,11.3,0.29,0.51,7.3
idx_12519,not,5,9.2,0.5,3.24,0.9959600000000001,216.0,67.0,0.04,8.1,0.55,0.24,6.3
idx_12520,not,5,9.7,0.49,3.18,0.99898,174.0,28.0,0.054000000000000006,14.8,0.23,0.41,7.5
idx_12521,good,7,11.5,0.6,3.36,0.9911399999999999,138.0,35.0,0.028999999999999998,1.4,0.33,0.18,6.5
idx_12522,good,8,10.4,0.38,3.17,0.99508,162.0,32.0,0.121,8.1,0.24,0.17,7.3
idx_12524,not,5,9.7,0.49,3.18,0.99898,174.0,28.0,0.054000000000000006,14.8,0.23,0.41,7.5
idx_12525,good,8,10.4,0.38,3.17,0.99508,162.0,32.0,0.121,8.1,0.24,0.17,7.3
idx_12526,good,7,11.5,0.6,3.36,0.9911399999999999,138.0,35.0,0.028999999999999998,1.4,0.33,0.18,6.5
idx_12527,good,6,10.2,0.51,3.27,0.9934200000000001,108.0,29.0,0.036000000000000004,1.5,0.35,0.16,7.3
idx_12529,not,5,9.0,0.47,3.24,0.99772,158.0,26.0,0.044000000000000004,12.8,0.13,0.42,6.6
idx_12530,good,6,10.5,0.59,3.38,0.99239,163.0,57.0,0.036000000000000004,1.6,0.12,0.3,5.8
idx_12532,not,4,9.4,0.38,3.16,0.9950200000000001,178.0,8.0,0.049,7.1,0.27,0.54,6.7
idx_12533,not,5,10.8,0.34,3.21,0.99479,149.0,53.0,0.046,11.2,0.3,0.22,6.4
idx_12536,good,6,9.2,0.42,3.15,0.99828,110.0,15.0,0.046,17.3,0.25,0.23,6.5
idx_12537,good,6,9.5,0.44,3.28,0.9954200000000001,142.0,30.0,0.032,8.6,0.14,0.28,5.9
idx_12538,good,6,9.5,0.44,3.28,0.9954200000000001,142.0,30.0,0.032,8.6,0.14,0.28,5.9
idx_12539,not,5,10.0,0.5,3.41,0.9922799999999999,111.0,20.0,0.027999999999999997,1.5,0.18,0.27,6.2
idx_12540,not,5,10.6,0.47,3.13,0.9970600000000001,177.0,34.0,0.03,12.1,0.34,0.29,9.0
idx_12541,good,6,10.6,0.5,3.08,0.99497,162.0,21.0,0.028999999999999998,6.7,0.34,0.26,9.0
idx_12542,not,5,10.6,0.48,3.13,0.99669,166.0,19.5,0.028999999999999998,10.7,0.34,0.27,8.9
idx_12543,good,6,9.2,0.42,3.15,0.99828,110.0,15.0,0.046,17.3,0.25,0.23,6.5
idx_12545,good,6,11.2,0.53,3.25,0.9919600000000001,159.0,17.0,0.040999999999999995,1.4,0.24,0.22,7.2
idx_12546,not,5,9.6,0.54,3.32,0.9966200000000001,175.0,26.0,0.046,7.5,0.38,0.5,6.7
idx_12547,not,5,9.4,0.48,3.21,0.99475,128.0,27.0,0.052000000000000005,4.8,0.14,0.33,6.2
idx_12549,not,5,9.3,0.62,3.09,0.99944,188.0,51.0,0.052000000000000005,16.9,0.47,0.2,7.5
idx_12550,not,5,9.4,0.48,3.21,0.99475,128.0,27.0,0.052000000000000005,4.8,0.14,0.33,6.2
idx_12552,not,5,9.4,0.46,3.07,0.9966,110.0,8.0,0.046,11.3,0.52,0.36,6.6
idx_12553,good,7,11.2,0.72,3.13,0.99066,146.0,63.0,0.043,1.1,0.42,0.13,6.3
idx_12554,good,7,11.2,0.73,3.14,0.9907,150.0,67.0,0.043,1.2,0.44,0.15,6.4
idx_12556,not,5,8.8,0.53,3.0,0.998,170.0,54.0,0.033,12.9,0.64,0.23,7.6
idx_12557,good,7,11.2,0.73,3.14,0.9907,150.0,67.0,0.043,1.2,0.44,0.15,6.4
idx_12558,good,7,11.2,0.72,3.13,0.99066,146.0,63.0,0.043,1.1,0.42,0.13,6.3
idx_12559,not,5,9.4,0.42,3.2,0.9930700000000001,137.0,17.0,0.079,1.2,0.65,0.255,5.7
idx_12562,good,6,11.1,0.42,3.06,0.99106,103.0,11.0,0.03,2.3,0.26,0.32,6.9
idx_12563,not,5,9.4,0.42,3.2,0.9930700000000001,137.0,17.0,0.079,1.2,0.65,0.255,5.7
idx_12565,not,5,8.9,0.45,3.13,0.99902,240.0,59.0,0.048,14.9,0.16,0.37,7.3
idx_12566,good,7,12.3,0.46,3.15,0.98992,80.0,17.0,0.021,1.8,0.24,0.21,6.9
idx_12567,not,5,11.4,0.46,3.34,0.99182,132.0,39.0,0.027999999999999997,1.8,0.28,0.24,6.6
idx_12569,good,6,10.3,0.59,3.33,0.99582,135.0,25.0,0.034,8.6,0.24,0.24,6.6
idx_12570,not,5,11.4,0.46,3.34,0.99182,132.0,39.0,0.027999999999999997,1.8,0.28,0.24,6.6
idx_12571,good,6,12.1,0.36,3.23,0.98972,80.0,29.0,0.032,1.1,0.32,0.16,7.0
idx_12572,not,5,9.9,0.45,3.46,0.9935200000000001,56.0,10.0,0.026000000000000002,1.3,0.28,0.14,7.0
idx_12573,not,5,9.7,0.49,3.15,0.9946,185.0,31.0,0.035,4.9,0.36,0.34,6.3
idx_12574,not,5,10.5,0.52,3.18,0.9927299999999999,154.0,70.0,0.043,1.9,0.24,0.26,6.8
idx_12576,not,5,9.4,0.5,3.18,0.99582,227.0,74.0,0.039,10.0,0.4,0.27,6.5
idx_12577,not,5,9.6,0.5,3.18,0.9955299999999999,206.0,63.0,0.037000000000000005,8.6,0.36,0.25,6.7
idx_12578,good,7,12.6,0.56,3.4,0.9891399999999999,104.0,45.0,0.013999999999999999,1.7,0.27,0.3,5.8
idx_12579,good,6,9.2,0.37,3.1,0.99354,106.0,49.0,0.156,1.7,0.56,0.28,6.4
idx_12580,not,5,10.4,0.5,3.2,0.99976,174.0,36.0,0.053,18.95,0.26,0.3,7.7
idx_12581,good,7,9.0,0.52,3.0,0.99808,171.0,19.0,0.062,12.8,0.3,0.18,6.8
idx_12582,good,7,9.0,0.52,3.0,0.99808,171.0,19.0,0.062,12.8,0.3,0.18,6.8
idx_12583,good,7,9.0,0.52,3.0,0.99808,171.0,19.0,0.062,12.8,0.3,0.18,6.8
idx_12584,good,7,9.0,0.52,3.0,0.99808,171.0,19.0,0.062,12.8,0.3,0.18,6.8
idx_12585,good,7,9.0,0.52,3.0,0.99808,171.0,19.0,0.062,12.8,0.3,0.18,6.8
idx_12586,good,7,9.0,0.52,3.0,0.99808,171.0,19.0,0.062,12.8,0.3,0.18,6.8
idx_12587,good,6,9.2,0.43,3.22,0.9919,89.0,15.0,0.039,0.7,0.25,0.14,5.1
idx_12590,good,6,10.1,0.42,3.34,0.99655,132.0,47.0,0.05,13.3,0.28,0.13,6.9
idx_12591,good,7,11.0,0.64,3.46,0.99615,152.0,24.0,0.059000000000000004,8.5,0.3,0.34,6.7
idx_12593,not,5,10.8,0.38,3.22,0.99482,147.0,49.0,0.048,11.7,0.29,0.21,6.3
idx_12595,not,5,10.6,0.39,3.24,0.99366,167.0,18.0,0.042,1.2,0.34,0.52,8.2
idx_12596,not,5,9.8,0.64,3.23,0.99434,208.0,28.0,0.046,2.1,0.31,0.28,7.8
idx_12597,good,6,11.7,0.7,3.18,0.9895799999999999,115.0,56.0,0.023,1.4,0.34,0.22,6.4
idx_12600,good,7,11.3,0.74,3.18,0.99059,132.0,51.0,0.042,1.1,0.42,0.11,6.8
idx_12602,good,6,11.7,0.7,3.18,0.9895799999999999,115.0,56.0,0.023,1.4,0.34,0.22,6.4
idx_12603,good,7,11.3,0.63,3.31,0.99159,107.0,37.0,0.025,2.8,0.29,0.3,6.7
idx_12604,good,7,11.3,0.63,3.31,0.99159,107.0,37.0,0.025,2.8,0.29,0.3,6.7
idx_12606,good,6,10.6,0.49,3.48,0.9938,157.0,22.0,0.027999999999999997,2.5,0.36,0.2,7.2
idx_12607,good,6,10.8,0.46,3.13,0.9955799999999999,202.0,47.0,0.024,8.1,0.33,0.26,8.9
idx_12608,good,6,10.8,0.46,3.12,0.9956299999999999,209.0,53.0,0.024,8.2,0.32,0.25,7.5
idx_12609,good,6,12.0,0.36,3.2,0.98931,28.0,4.0,0.019,0.9,0.3,0.2,7.1
idx_12610,not,5,9.4,0.67,3.18,0.9969100000000001,177.0,44.0,0.053,11.1,0.46,0.27,6.3
idx_12611,not,5,9.4,0.5,3.19,0.9959,219.0,61.0,0.038,7.8,0.39,0.3,6.5
idx_12612,good,7,11.3,0.63,3.31,0.99159,107.0,37.0,0.025,2.8,0.29,0.3,6.7
idx_12613,not,5,9.4,0.4,3.07,0.9962799999999999,140.0,29.0,0.05,10.1,0.52,0.36,6.6
idx_12615,good,7,10.3,0.72,3.28,0.9967799999999999,129.0,47.0,0.039,14.2,0.41,0.18,6.5
idx_12616,good,7,10.3,0.72,3.28,0.9967799999999999,129.0,47.0,0.039,14.2,0.41,0.18,6.5
idx_12618,good,7,11.3,0.38,3.22,0.9908899999999999,126.0,48.0,0.026000000000000002,2.9,0.21,0.26,6.6
idx_12619,good,6,9.4,0.47,3.1,0.9953700000000001,150.0,31.0,0.063,6.0,0.35,0.35,6.6
idx_12620,not,5,8.7,0.38,3.14,1.0002,144.0,40.0,0.040999999999999995,20.4,0.28,0.28,6.5
idx_12622,good,7,11.3,0.38,3.22,0.9908899999999999,126.0,48.0,0.026000000000000002,2.9,0.21,0.26,6.6
idx_12623,good,7,10.3,0.72,3.28,0.9967799999999999,129.0,47.0,0.039,14.2,0.41,0.18,6.5
idx_12624,not,5,12.0,0.47,3.39,0.9907600000000001,80.0,20.0,0.021,3.2,0.37,0.21,6.15
idx_12625,not,5,8.0,0.42,3.34,0.9933200000000001,159.0,89.0,0.033,0.95,0.21,0.19,4.5
idx_12626,good,7,10.4,0.51,3.44,0.99316,136.0,36.0,0.033,1.7,0.26,0.24,8.0
idx_12627,good,7,10.7,0.41,3.37,0.99272,128.0,39.0,0.028999999999999998,1.7,0.23,0.17,7.8
idx_12628,good,6,10.2,0.46,3.47,0.99636,219.0,42.0,0.03,9.0,0.24,0.24,7.0
idx_12630,good,6,10.5,0.36,3.3,0.9914799999999999,109.0,23.0,0.027000000000000003,1.4,0.26,0.445,5.9
idx_12631,good,7,11.7,0.39,3.26,0.99064,100.0,36.0,0.012,2.4,0.28,0.28,6.7
idx_12633,not,5,9.0,0.44,3.2,0.9977299999999999,174.0,40.0,0.034,11.4,0.27,0.24,7.2
idx_12634,not,5,8.7,0.88,2.96,1.00013,191.0,27.0,0.044000000000000004,14.35,0.73,0.31,8.7
idx_12635,good,6,12.8,0.47,3.1,0.98974,87.0,26.0,0.062,2.1,0.26,0.32,8.2
idx_12636,not,5,9.0,0.44,3.2,0.9977299999999999,174.0,40.0,0.034,11.4,0.27,0.24,7.2
idx_12637,not,5,8.7,0.88,2.96,1.00013,191.0,27.0,0.044000000000000004,14.35,0.73,0.31,8.7
idx_12639,good,6,11.6,0.55,3.05,0.99136,84.0,36.0,0.034,1.1,0.37,0.14,9.2
idx_12640,good,6,11.8,0.61,3.14,0.9913200000000001,89.0,28.0,0.027999999999999997,1.2,0.37,0.2,7.4
idx_12641,not,5,10.6,0.37,3.24,0.9964200000000001,158.0,55.0,0.042,15.8,0.35,0.15,6.1
idx_12642,not,5,9.7,0.8,3.17,0.9948799999999999,91.0,14.0,0.066,5.2,0.4,0.23,7.6
idx_12643,not,5,10.3,0.47,3.22,0.9952700000000001,151.0,24.0,0.047,5.2,0.22,0.33,8.1
idx_12644,good,6,10.2,0.44,3.15,0.9957799999999999,178.0,56.0,0.11900000000000001,9.6,0.24,0.17,7.15
idx_12646,good,7,10.9,0.68,3.7,0.9919899999999999,71.0,9.0,0.046,1.2,0.36,0.18,5.7
idx_12647,not,5,9.3,0.51,3.24,0.99198,127.0,43.0,0.037000000000000005,0.8,0.28,0.15,5.8
idx_12648,good,6,10.2,0.54,3.33,0.99756,144.0,29.0,0.057,14.45,0.29,0.23,6.6
idx_12649,good,6,10.2,0.44,3.15,0.9957799999999999,178.0,56.0,0.11900000000000001,9.6,0.24,0.17,7.15
idx_12650,not,5,9.5,0.53,3.11,0.99561,162.0,43.0,0.066,6.9,0.39,0.34,7.0
idx_12651,not,5,9.3,0.4,3.18,0.9934700000000001,146.0,25.0,0.069,3.4,0.26,0.68,6.4
idx_12652,good,7,12.9,0.34,3.06,0.98936,80.0,45.0,0.018000000000000002,2.3,0.31,0.22,7.3
idx_12653,not,5,8.7,0.46,3.14,0.9978600000000001,148.0,45.0,0.042,11.0,0.27,0.28,6.4
idx_12655,not,5,10.1,0.69,3.23,0.9942,204.0,71.0,0.034,5.1,0.23,0.19,6.8
idx_12656,not,4,10.0,0.78,3.19,0.9948,196.0,60.0,0.039,5.4,0.24,0.23,7.1
idx_12657,good,7,11.1,0.69,3.27,0.99116,129.0,51.0,0.05,1.2,0.42,0.14,6.45
idx_12658,good,7,10.3,0.7,3.26,0.9968799999999999,158.0,65.0,0.052000000000000005,12.6,0.44,0.15,6.5
idx_12659,good,6,12.2,0.41,3.24,0.98974,73.0,27.0,0.033,1.0,0.34,0.15,7.1
idx_12660,good,6,9.3,0.48,3.11,0.9954200000000001,156.0,35.0,0.067,6.6,0.34,0.33,6.7
idx_12663,good,8,11.2,0.39,2.98,0.99044,86.0,15.0,0.033,1.1,0.25,0.13,8.0
idx_12664,good,7,12.5,0.45,3.32,0.9914,91.0,36.0,0.03,6.6,0.34,0.21,6.2
idx_12665,not,5,9.3,0.49,3.39,0.9979,122.0,15.0,0.05,8.2,0.41,0.4,8.3
idx_12666,good,7,12.9,0.41,3.4,0.98892,142.0,38.0,0.03,2.0,0.31,0.34,5.9
idx_12667,good,7,11.2,0.45,3.2,0.9911399999999999,131.0,21.0,0.039,1.4,0.25,0.12,6.6
idx_12668,good,6,12.6,1.0,3.0,0.9918799999999999,120.0,21.0,0.039,2.0,0.21,0.655,9.6
idx_12669,not,5,9.3,0.49,3.2,0.9958299999999999,179.0,45.0,0.046,7.5,0.4,0.26,6.8
idx_12670,good,7,12.9,0.41,3.4,0.98892,142.0,38.0,0.03,2.0,0.31,0.34,5.9
idx_12671,good,7,12.9,0.41,3.41,0.98892,142.0,38.0,0.03,2.0,0.3,0.3,5.9
idx_12673,good,6,11.9,0.36,3.19,0.9911,24.0,5.0,0.037000000000000005,2.85,0.31,0.37,7.9
idx_12674,good,7,10.3,0.66,2.93,0.99334,120.0,23.0,0.032,5.6,0.25,0.35,7.2
idx_12675,good,7,10.3,0.66,2.92,0.99334,120.0,23.0,0.033,5.6,0.24,0.32,7.2
idx_12677,good,6,12.0,0.31,3.18,0.9901399999999999,150.0,32.0,0.03,3.2,0.31,0.25,6.2
idx_12678,not,5,9.6,0.4,3.13,0.9930399999999999,144.0,21.0,0.042,1.0,0.17,0.31,7.1
idx_12679,good,6,9.2,0.42,3.2,0.9965200000000001,110.0,29.0,0.040999999999999995,7.1,0.28,0.18,7.6
idx_12680,good,6,12.9,0.33,3.03,0.98944,119.0,52.0,0.028999999999999998,2.4,0.29,0.17,8.0
idx_12681,good,6,9.3,0.59,2.99,0.99772,149.0,46.0,0.061,11.2,0.27,0.19,7.2
idx_12682,good,6,12.1,0.44,3.1,0.99367,136.0,15.0,0.03,9.5,0.25,0.32,7.6
idx_12684,good,6,11.2,0.48,3.37,0.9918299999999999,128.0,35.0,0.026000000000000002,1.8,0.29,0.21,6.6
idx_12685,good,7,11.2,0.37,3.11,0.99126,98.0,28.0,0.028999999999999998,2.6,0.36,0.16,7.0
idx_12686,good,6,12.9,0.33,3.03,0.98944,119.0,52.0,0.028999999999999998,2.4,0.29,0.17,8.0
idx_12687,not,5,9.2,0.46,3.21,0.99577,187.0,56.0,0.042,8.0,0.38,0.24,6.6
idx_12688,good,6,9.3,0.59,2.99,0.99772,149.0,46.0,0.061,11.2,0.27,0.19,7.2
idx_12689,good,6,9.2,0.42,3.2,0.9965200000000001,110.0,29.0,0.040999999999999995,7.1,0.28,0.18,7.6
idx_12690,good,6,9.3,0.5,3.18,0.9942799999999999,124.0,26.0,0.040999999999999995,3.3,0.25,0.3,6.9
idx_12692,good,6,9.8,0.54,3.05,0.99208,166.0,20.0,0.024,1.2,0.32,0.31,6.9
idx_12693,good,6,10.3,0.54,3.3,0.99256,143.0,28.0,0.036000000000000004,1.6,0.25,0.23,6.7
idx_12694,good,6,10.7,0.36,3.2,0.9938799999999999,108.0,26.0,0.03,10.3,0.27,0.28,6.2
idx_12696,good,6,8.8,0.49,3.02,0.9990399999999999,182.0,36.0,0.048,16.4,0.5,0.22,6.5
idx_12697,not,5,10.8,0.5,3.18,0.99216,104.0,16.0,0.043,1.5,0.37,0.18,7.0
idx_12699,good,6,9.3,0.5,3.18,0.9942799999999999,124.0,26.0,0.040999999999999995,3.3,0.25,0.3,6.9
idx_12701,not,5,8.8,0.41,3.26,0.99924,133.0,43.0,0.038,16.3,0.36,0.23,6.5
idx_12702,not,5,8.8,0.41,3.26,0.99924,133.0,43.0,0.038,16.3,0.36,0.23,6.5
idx_12703,not,5,8.8,0.41,3.26,0.99924,133.0,43.0,0.038,16.3,0.36,0.23,6.5
idx_12704,good,6,9.4,0.38,3.19,0.9956,201.0,68.0,0.17,6.5,0.38,0.26,6.6
idx_12706,good,6,9.6,0.63,3.16,0.9972,209.0,59.0,0.045,10.2,0.39,0.28,7.5
idx_12707,not,5,8.8,0.41,3.26,0.99924,133.0,43.0,0.038,16.3,0.36,0.23,6.5
idx_12708,good,6,9.3,0.48,3.22,0.9958,189.0,56.0,0.044000000000000004,7.4,0.42,0.23,6.8
idx_12709,not,5,8.9,0.75,3.22,0.99976,184.0,66.0,0.044000000000000004,13.7,0.34,0.25,7.8
idx_12710,not,5,8.9,0.75,3.22,0.99976,184.0,66.0,0.044000000000000004,13.7,0.34,0.25,7.8
idx_12711,not,5,10.0,0.43,3.74,0.9929600000000001,155.0,25.0,0.049,1.3,0.22,0.2,5.6
idx_12713,good,6,9.3,0.48,3.22,0.9958,189.0,56.0,0.044000000000000004,7.4,0.42,0.23,6.8
idx_12715,good,6,10.1,0.6,3.14,0.99541,179.0,46.0,0.04,7.2,0.28,0.25,7.8
idx_12717,good,6,10.8,0.4,3.2,0.99518,143.0,59.0,0.046,10.4,0.29,0.16,6.8
idx_12718,good,6,10.0,0.54,3.24,0.9916799999999999,69.0,18.0,0.027999999999999997,1.1,0.29,0.28,5.2
idx_12719,good,6,10.9,0.38,3.03,0.9927600000000001,160.0,53.0,0.028999999999999998,6.5,0.31,0.18,7.5
idx_12720,good,7,12.0,0.38,3.15,0.99085,92.0,29.0,0.027000000000000003,4.6,0.3,0.26,7.5
idx_12721,not,5,9.3,0.8,2.99,0.9987299999999999,171.0,22.0,0.043,13.9,0.64,0.37,8.2
idx_12722,good,7,12.3,0.62,3.22,0.99172,101.0,32.0,0.03,5.2,0.27,0.4,7.6
idx_12723,good,6,10.4,0.56,3.45,0.9931200000000001,129.0,29.0,0.038,1.7,0.25,0.26,7.5
idx_12725,not,5,10.5,0.42,3.22,0.9972,153.0,62.0,0.045,16.4,0.32,0.23,6.9
idx_12726,good,6,9.8,0.5,3.41,0.9927799999999999,91.0,22.0,0.036000000000000004,3.6,0.31,0.2,5.3
idx_12727,good,6,10.5,0.46,3.06,0.99092,121.0,34.0,0.040999999999999995,1.5,0.31,0.17,6.5
idx_12728,good,6,9.9,0.51,3.16,0.9962,213.0,86.0,0.051,12.4,0.28,0.35,6.5
idx_12729,good,7,11.4,0.69,3.27,0.9905299999999999,79.0,24.0,0.035,1.7,0.31,0.29,6.5
idx_12730,not,5,9.2,0.51,3.18,0.9985799999999999,190.0,41.0,0.06,6.2,0.22,0.3,6.8
idx_12732,not,5,10.0,0.51,3.09,0.99335,135.0,13.0,0.049,2.6,0.34,0.51,7.9
idx_12733,good,7,11.4,0.69,3.27,0.9905299999999999,79.0,24.0,0.035,1.7,0.31,0.29,6.5
idx_12734,good,6,10.3,0.49,3.13,0.9949,141.0,50.0,0.048,9.3,0.28,0.29,7.1
idx_12735,good,6,9.9,0.51,3.16,0.9962,213.0,86.0,0.051,12.4,0.28,0.35,6.5
idx_12736,good,6,10.5,0.46,3.06,0.99092,121.0,34.0,0.040999999999999995,1.5,0.31,0.17,6.5
idx_12737,good,7,9.8,0.47,3.16,0.9953200000000001,95.0,29.0,0.047,9.1,0.28,0.2,7.4
idx_12738,not,5,9.3,0.34,3.19,0.9972700000000001,131.0,24.0,0.067,12.0,0.42,0.615,6.9
idx_12739,good,7,12.4,0.47,3.08,0.99026,100.0,25.0,0.034,4.8,0.28,0.32,6.8
idx_12740,good,6,9.3,0.42,3.16,0.9966799999999999,145.0,54.0,0.048,12.3,0.19,0.2,6.3
idx_12743,good,6,10.5,0.4,3.08,0.99144,45.0,9.0,0.034,3.6,0.33,0.27,6.7
idx_12744,good,6,10.5,0.4,3.08,0.99144,45.0,9.0,0.034,3.6,0.33,0.27,6.7
idx_12747,good,6,10.0,0.55,3.1,0.9969299999999999,127.0,48.0,0.057,11.8,0.33,0.26,7.3
idx_12748,good,8,11.8,0.9,3.38,0.99035,170.0,96.0,0.045,1.8,0.34,0.17,5.8
idx_12749,good,6,10.0,0.55,3.1,0.9969299999999999,127.0,48.0,0.057,11.8,0.33,0.26,7.3
idx_12750,good,8,11.8,0.9,3.38,0.99035,170.0,96.0,0.045,1.8,0.34,0.17,5.8
idx_12751,good,6,12.0,0.66,3.19,0.99006,108.0,38.0,0.036000000000000004,1.4,0.36,0.17,6.8
idx_12752,good,6,12.6,0.46,3.18,0.99126,138.0,15.0,0.025,6.6,0.3,0.43,7.1
idx_12753,good,8,11.9,0.4,3.37,0.9899399999999999,70.0,15.0,0.026000000000000002,1.55,0.27,0.315,5.8
idx_12754,not,5,10.6,0.32,3.13,0.98985,28.0,5.0,0.027000000000000003,0.7,0.28,0.17,5.9
idx_12755,not,5,9.2,0.48,3.42,0.9971,240.0,47.0,0.08199999999999999,6.4,0.18,0.34,6.6
idx_12756,good,6,10.0,0.52,3.17,0.99882,240.0,42.0,0.059000000000000004,11.8,0.34,0.33,8.6
idx_12757,not,5,9.2,0.46,3.36,0.99477,97.0,18.0,0.038,4.3,0.26,0.12,5.6
idx_12758,good,6,9.3,0.47,3.36,0.9947799999999999,103.0,19.0,0.039,5.1,0.26,0.13,5.8
idx_12760,good,6,10.2,0.54,3.25,0.9957799999999999,148.0,25.0,0.054000000000000006,5.9,0.36,0.16,7.7
idx_12761,not,5,8.7,0.51,3.14,0.99354,154.0,51.0,0.06,1.3,0.15,0.26,6.0
idx_12762,not,5,10.7,0.42,3.24,0.99244,163.0,8.0,0.05,1.4,0.35,0.32,7.3
idx_12763,good,6,12.1,0.34,3.18,0.9908399999999999,119.0,4.0,0.048,1.2,0.34,0.3,7.7
idx_12765,good,6,11.2,0.37,3.18,0.99356,118.0,17.0,0.027999999999999997,10.8,0.29,0.27,6.4
idx_12766,good,6,12.0,0.59,2.93,0.9895200000000001,95.0,36.0,0.034,1.8,0.37,0.16,6.9
idx_12767,good,6,9.5,0.37,3.12,0.9961200000000001,152.0,58.0,0.05,7.4,0.3,0.16,7.9
idx_12768,good,6,12.1,0.34,3.18,0.9908399999999999,119.0,4.0,0.048,1.2,0.34,0.3,7.7
idx_12769,not,5,10.7,0.42,3.24,0.99244,163.0,8.0,0.05,1.4,0.35,0.32,7.3
idx_12770,good,7,8.8,0.54,3.26,0.99955,228.0,29.0,0.048,14.4,0.44,0.44,6.4
idx_12773,good,7,12.5,0.6,3.08,0.99144,93.0,22.0,0.035,3.6,0.32,0.39,7.6
idx_12774,good,8,11.7,0.33,3.09,0.9935200000000001,131.0,37.0,0.045,10.05,0.32,0.36,7.0
idx_12775,good,8,11.7,0.33,3.09,0.9935200000000001,131.0,37.0,0.045,10.05,0.32,0.36,7.0
idx_12776,good,8,11.6,0.33,3.09,0.9935,135.0,35.0,0.045,10.5,0.32,0.36,7.0
idx_12777,good,6,11.3,0.54,3.29,0.9923700000000001,111.0,24.0,0.043,1.9,0.36,0.2,7.6
idx_12778,good,7,12.5,0.6,3.08,0.99144,93.0,22.0,0.035,3.6,0.32,0.39,7.6
idx_12779,not,5,11.4,0.45,3.11,0.9902200000000001,103.0,42.0,0.025,1.65,0.37,0.2,6.7
idx_12780,not,5,12.2,0.44,3.4,0.9903200000000001,117.0,4.0,0.036000000000000004,1.9,0.34,0.235,6.2
idx_12781,good,6,11.7,0.69,3.39,1.03898,160.0,8.0,0.07400000000000001,65.8,0.6,0.965,7.8
idx_12782,good,6,10.4,0.59,3.31,0.99587,211.0,32.0,0.053,6.85,0.31,0.2,7.1
idx_12783,good,6,10.4,0.59,3.31,0.99587,211.0,32.0,0.053,7.4,0.31,0.2,7.1
idx_12784,good,6,10.4,0.59,3.31,0.99587,211.0,32.0,0.053,7.4,0.31,0.2,7.1
idx_12785,not,5,9.1,0.5,3.17,0.99976,157.0,35.0,0.083,20.2,0.25,0.24,6.4
idx_12786,good,6,12.2,0.41,3.05,0.99354,70.0,8.0,0.034,11.0,0.36,0.3,8.0
idx_12787,not,5,9.1,0.5,3.17,0.99976,157.0,35.0,0.083,20.2,0.25,0.24,6.4
idx_12788,not,5,9.4,0.54,3.12,0.9955200000000001,176.0,41.0,0.066,6.2,0.42,0.4,6.9
idx_12789,not,5,9.4,0.53,3.11,0.9955200000000001,178.0,42.0,0.065,6.2,0.43,0.4,6.9
idx_12790,good,6,10.4,0.59,3.31,0.99587,211.0,32.0,0.053,6.85,0.31,0.2,7.1
idx_12791,not,5,9.2,0.49,3.22,0.9960399999999999,189.0,61.0,0.047,8.0,0.51,0.25,6.6
idx_12792,not,5,9.4,0.51,3.2,0.99584,183.0,52.0,0.046,8.2,0.44,0.26,6.8
idx_12793,good,7,13.5,0.53,3.22,0.9889399999999999,107.0,39.0,0.033,2.2,0.3,0.37,6.5
idx_12794,not,5,9.4,0.4,3.07,0.9963,151.0,37.0,0.053,10.1,0.53,0.35,6.8
idx_12795,good,8,10.9,0.55,3.13,0.993,83.0,15.0,0.027999999999999997,7.2,0.32,0.22,6.4
idx_12797,not,5,9.4,0.4,3.07,0.9963,151.0,37.0,0.053,10.1,0.53,0.35,6.8
idx_12798,good,7,11.4,0.45,3.19,0.9906799999999999,114.0,34.0,0.036000000000000004,1.6,0.32,0.31,6.9
idx_12799,good,7,12.4,0.51,3.19,0.98964,125.0,45.0,0.036000000000000004,1.3,0.37,0.16,6.7
idx_12800,not,5,9.2,0.49,3.22,0.9960399999999999,189.0,61.0,0.047,8.0,0.51,0.25,6.6
idx_12801,not,5,9.4,0.51,3.2,0.99584,183.0,52.0,0.046,8.2,0.44,0.26,6.8
idx_12802,good,6,10.5,0.39,3.3,0.9923,79.0,8.0,0.038,5.3,0.31,0.15,5.6
idx_12803,good,8,11.5,0.38,3.26,0.9943700000000001,99.0,16.0,0.031,14.0,0.32,0.15,5.5
idx_12805,good,6,10.8,0.44,3.34,0.9923799999999999,123.0,36.0,0.04,1.6,0.26,0.2,7.3
idx_12806,not,5,8.9,0.46,3.03,0.9980100000000001,148.0,52.0,0.038,11.8,0.71,0.17,7.5
idx_12807,not,5,8.9,0.46,3.03,0.99802,151.0,53.0,0.039,9.6,0.72,0.18,7.5
idx_12808,good,6,9.4,0.5,3.2,0.99566,184.0,60.0,0.042,6.1,0.48,0.27,7.0
idx_12809,good,7,12.2,0.73,3.44,0.99067,153.0,25.0,0.049,2.7,0.31,0.32,5.8
idx_12810,good,7,12.1,0.47,2.99,0.99066,100.0,22.0,0.025,3.6,0.31,0.26,7.8
idx_12811,not,5,10.9,0.66,3.17,0.9929,128.0,23.0,0.03,1.7,0.32,0.3,7.4
